id,kind,en,pl,sommelier_note
"kb.tendencja.oleiste.maslo.assoc","kb_tendencja_assoc","masło, orzechy, tosty, drożdże, ciasteczka maślane, pierniczki","masło, orzechy, tosty, drożdże, ciasteczka maślane, pierniczki",""
"kb.tendencja.oleiste.tropikalne.assoc","kb_tendencja_assoc","mango, ananas, papaja, marakuja, banan, liczi","mango, ananas, papaja, marakuja, banan, liczi",""
"kb.tendencja.swieze.cytrusy.assoc","kb_tendencja_assoc","cytryny, grejpfruty, pomarańcze, mandarynki","cytryny, grejpfruty, pomarańcze, mandarynki",""
"kb.tendencja.swieze.zielone.assoc","kb_tendencja_assoc","melon, winogrona, seler, ogórek, karczoch, szparagi","melon, winogrona, seler, ogórek, karczoch, szparagi",""
"kb.tendencja.szorstkie.dab.assoc","kb_tendencja_assoc","drewno, nieheblowana deska, zapach ogniska, tytoń z papierosa, ściąganie na języku przy cierpkich owocach","drewno, nieheblowana deska, zapach ogniska, tytoń z papierosa, ściąganie na języku przy cierpkich owocach",""
"kb.tendencja.szorstkie.pizmo.assoc","kb_tendencja_assoc","skojarzenia zwierzęce — zapach mokrego psa, konia, stajni, skóry","skojarzenia zwierzęce — zapach mokrego psa, konia, stajni, skóry",""
"kb.tendencja.tegie.cigaro.assoc","kb_tendencja_assoc","czekolada, kawa, tytoń, słodkie cygaro","czekolada, kawa, tytoń, słodkie cygaro",""
"kb.tendencja.tegie.suszone.assoc","kb_tendencja_assoc","w czerwonych: wędzone śliwki, suszone śliwki, daktyle, żurawina. W białych: suszona morela, rodzynki, daktyle, jabłka, pomarańcze, banany, orientalne przyprawy","w czerwonych: wędzone śliwki, suszone śliwki, daktyle, żurawina. W białych: suszona morela, rodzynki, daktyle, jabłka, pomarańcze, banany, orientalne przyprawy",""
"kb.tendencja.ziemiste.mineraly.assoc","kb_tendencja_assoc","kamienie, rzeka, akweny wodne, woda mineralna — bąbelki na języku, „szczypanie”","kamienie, rzeka, akweny wodne, woda mineralna — bąbelki na języku, „szczypanie”",""
"kb.tendencja.ziemiste.sciolka.assoc","kb_tendencja_assoc","ściółka leśna, ścięta trawa, fiołki, lawenda","ściółka leśna, ścięta trawa, fiołki, lawenda",""
"kb.tendencja.miekkie.dojrzale.examples","kb_tendencja_examples","Klasyczne owocowe nuty występujące w młodych, owocowych winach.","Klasyczne owocowe nuty występujące w młodych, owocowych winach.",""
"kb.tendencja.miekkie.konfitury.examples","kb_tendencja_examples","Konfitury różnią się od dojrzałych owoców intensywnością. Tutaj jabłko czy truskawka są upieczone, usmażone, czy skarmelizowane.","Konfitury różnią się od dojrzałych owoców intensywnością. Tutaj jabłko czy truskawka są upieczone, usmażone, czy skarmelizowane.",""
"kb.tendencja.oleiste.maslo.examples","kb_tendencja_examples","Różnego rodzaju produkty „tłuste”. Tego rodzaju wrażenia spotykamy w wielu gatunkach win białych jak i czerwonych.","Różnego rodzaju produkty „tłuste”. Tego rodzaju wrażenia spotykamy w wielu gatunkach win białych jak i czerwonych.",""
"kb.tendencja.oleiste.tropikalne.examples","kb_tendencja_examples","Oleistość żywiczna, pełnia słodyczy. Te doznania często odnajdziemy w białych winach.","Oleistość żywiczna, pełnia słodyczy. Te doznania często odnajdziemy w białych winach.",""
"kb.tendencja.swieze.cytrusy.examples","kb_tendencja_examples","Tego rodzaju wrażenia spotykamy w wielu gatunkach win białych jak i czerwonych.","Tego rodzaju wrażenia spotykamy w wielu gatunkach win białych jak i czerwonych.",""
"kb.tendencja.swieze.zielone.examples","kb_tendencja_examples","Te doznania często odnajdziemy w białych winach, warzywne tendencje spotykamy też często w winach czerwonych.","Te doznania często odnajdziemy w białych winach, warzywne tendencje spotykamy też często w winach czerwonych.",""
"kb.tendencja.szorstkie.dab.examples","kb_tendencja_examples","Szeroka rodzina wrażeń „szorstkich” i „cierpkich”.","Szeroka rodzina wrażeń „szorstkich” i „cierpkich”.",""
"kb.tendencja.szorstkie.pizmo.examples","kb_tendencja_examples","Tego rodzaju wrażenia spotykamy w czerwonych winach.","Tego rodzaju wrażenia spotykamy w czerwonych winach.",""
"kb.tendencja.tegie.cigaro.examples","kb_tendencja_examples","Ciężka tendencja, która przywodzi na myśl „klub gentelmena”, „klub golfowy”, „sklep ze słodyczami” czy „sklep z cygarami”. Zwykle w winach czerwonych.","Ciężka tendencja, która przywodzi na myśl „klub gentelmena”, „klub golfowy”, „sklep ze słodyczami” czy „sklep z cygarami”. Zwykle w winach czerwonych.",""
"kb.tendencja.tegie.suszone.examples","kb_tendencja_examples","Intensywne wrażenie. To trochę skojarzenie z wigilijnym suszem.","Intensywne wrażenie. To trochę skojarzenie z wigilijnym suszem.",""
"kb.tendencja.ziemiste.mineraly.examples","kb_tendencja_examples","Pamiętacie jak pachnie morze? Ten zapach też.","Pamiętacie jak pachnie morze? Ten zapach też.",""
"kb.tendencja.ziemiste.sciolka.examples","kb_tendencja_examples","Wrażenia kojarzone z lasem, glebą zwykle znajdujemy w winach czerwonych; trawę mamy w białych jak Sauvignon Blanc.","Wrażenia kojarzone z lasem, glebą zwykle znajdujemy w winach czerwonych; trawę mamy w białych jak Sauvignon Blanc.",""
"lib.dish.beef-tartare.description","lib_dish_description","Hand-cut beef fillet, capers, shallots, egg yolk and house spice blend.","Ręcznie krojona polędwica wołowa, kapary, szalotka, żółtko jajka i firmowa mieszanka przypraw.",""
"lib.dish.duck-confit.description","lib_dish_description","Slow-cooked duck leg with crispy skin, sarladaise potatoes and thyme jus.","Wolno pieczona noga kaczki z chrupiącą skórką, ziemniakami sarladaise i sosem tymiankowym.",""
"lib.dish.escargots.description","lib_dish_description","Burgundy snails with garlic herb butter, parsley and toasted baguette points.","Ślimaki burgundzkie w maśle czosnkowo-ziołowym z natką pietruszki i grzankami z bagietki.",""
"lib.dish.scallops.description","lib_dish_description","Jumbo scallops, cauliflower puree, truffle oil and micro greens.","Duże przegrzebki, puree z kalafiora, oliwa truflowa i mikrolistki.",""
"lib.dish.beef-tartare.name","lib_dish_name","Beef Tartare","Tatar wołowy",""
"lib.dish.duck-confit.name","lib_dish_name","Duck Confit","Konfitowana kaczka",""
"lib.dish.escargots.name","lib_dish_name","Escargots de Bourgogne","Ślimaki burgundzkie",""
"lib.dish.scallops.name","lib_dish_name","Seared Scallops","Smażone przegrzebki",""
"lib.pairing.beef-tartare.cabernet.reason","lib_pairing_reason","Tannin from Cabernet binds with the raw protein, keeping the spice and pepper notes in check.","Taniny Cabernet wiążą się z surowym białkiem, utrzymując pikantne i pieprzne nuty w ryzach.",""
"lib.pairing.beef-tartare.pinot.reason","lib_pairing_reason","Lighter Pinot Noir is the classic foil for tartare — it lifts shallots and capers without crushing them.","Lżejsze Pinot Noir to klasyczny partner tatara — wydobywa szalotkę i kapary, nie miażdżąc ich.",""
"lib.pairing.duck-confit.pinot.reason","lib_pairing_reason","Pinot Noir's red-fruit core and gentle tannin echo crisp duck skin without overpowering it.","Czerwono-owocowy rdzeń i miękkie taniny Pinot Noir odpowiadają chrupiącej skórce kaczki, nie dominując dania.",""
"lib.pairing.duck-confit.riesling.reason","lib_pairing_reason","Off-dry Riesling pulls the fat away from rich confit while complementing the thyme jus.","Półwytrawny Riesling rozcina tłustość konfitowanej kaczki, podkreślając nuty tymiankowego sosu.",""
"lib.pairing.escargots.champagne.reason","lib_pairing_reason","Champagne's bubbles and acidity refresh the palate after every buttery, garlic-loaded bite.","Bąbelki i kwasowość Champagne odświeżają podniebienie po każdym maślano-czosnkowym kęsie.",""
"lib.pairing.escargots.riesling.reason","lib_pairing_reason","Crisp Alsace Riesling cuts through garlic herb butter with citrus drive and saline minerality.","Wytrawny Riesling z Alzacji przebija masło czosnkowo-ziołowe cytrusowym nerwem i słoną mineralnością.",""
"lib.pairing.scallops.champagne.reason","lib_pairing_reason","Blanc de blancs Champagne mirrors scallop sweetness and slices cauliflower puree's richness.","Blanc de blancs Champagne podkreśla słodycz przegrzebków i przecina bogactwo puree z kalafiora.",""
"lib.pairing.scallops.rose.reason","lib_pairing_reason","Provence rose's strawberry and citrus lift the truffle oil while staying delicate enough for scallops.","Truskawka i cytrus prowansalskiego rosé podnoszą oliwę truflową, zachowując delikatność dla przegrzebków.",""
"lib.wine.cabernet.description","lib_wine_description","Dense dark fruit, spice, and powerful structure for rich dishes.","Gęste, ciemne owoce, korzenne nuty i mocna struktura — pod treściwe dania.",""
"lib.wine.champagne.description","lib_wine_description","Fine mousse, apple and brioche notes, with crisp finish.","Drobny mus, nuty jabłka i brioszki, świeże wykończenie.",""
"lib.wine.pinot.description","lib_wine_description","Citrus, oyster-shell minerality, and a taut, saline finish.","Cytrusy, mineralność muszli ostrygi i napięte, słone zakończenie.",""
"lib.wine.riesling.description","lib_wine_description","Bone-dry profile with mineral finish and focused citrus backbone.","Wytrawny profil z mineralnym zakończeniem i wyraźną cytrusową strukturą.",""
"lib.wine.rose.description","lib_wine_description","Sour cherry, dried herbs, and vibrant acidity.","Kwaśna wiśnia, suszone zioła i żywa kwasowość.",""
"lib.wine.cabernet.name","lib_wine_name","Penfolds Grange","Penfolds Grange",""
"lib.wine.champagne.name","lib_wine_name","Veuve Clicquot Yellow Label Brut","Veuve Clicquot Yellow Label Brut",""
"lib.wine.pinot.name","lib_wine_name","Domaine William Fevre Chablis Premier Cru","Domaine William Fevre Chablis Premier Cru",""
"lib.wine.riesling.name","lib_wine_name","Trimbach Riesling","Trimbach Riesling",""
"lib.wine.rose.name","lib_wine_name","Castello Banfi Chianti Classico","Castello Banfi Chianti Classico",""
"pairing.atelier-amaro.r1-d1.r1-w2.reason","pairing_reason","Sangiovese acidity mirrors tomato and refreshes melted cheese.","Kwasowość Sangiovese odpowiada pomidorowi i odświeża stopiony ser.",""
"pairing.atelier-amaro.r1-d1.r1-w5.reason","pairing_reason","Sparkling bubbles cut richness and keep basil flavors bright.","Bąbelki musującego wina rozcinają tłustość i utrzymują świeży aromat bazylii.",""
"pairing.atelier-amaro.r1-d10.r1-w5.reason","pairing_reason","A dry sparkling contrast keeps dessert from feeling heavy.","Wytrawny musujący kontrast nie pozwala deserowi sprawiać wrażenia ciężkiego.",""
"pairing.atelier-amaro.r1-d10.r1-w6.reason","pairing_reason","Sweet apricot and honey tones complement cocoa and coffee.","Słodkie nuty moreli i miodu uzupełniają kakao i kawę.",""
"pairing.atelier-amaro.r1-d2.r1-w3.reason","pairing_reason","Mineral white wine balances salty pecorino and pepper heat.","Mineralne białe wino równoważy słone pecorino i ostrość pieprzu.",""
"pairing.atelier-amaro.r1-d2.r1-w8.reason","pairing_reason","Pinot Grigio keeps the dish airy and highlights pepper aroma.","Pinot Grigio utrzymuje danie lekkim i podkreśla aromat pieprzu.",""
"pairing.atelier-amaro.r1-d3.r1-w1.reason","pairing_reason","Structured tannins match ragu depth and savory meat notes.","Strukturalne taniny pasują do głębi ragù i wytrawnych mięsnych nut.",""
"pairing.atelier-amaro.r1-d3.r1-w2.reason","pairing_reason","Chianti herbs and cherry pair naturally with tomato-based sauce.","Zioła i wiśnia w Chianti naturalnie łączą się z sosem na bazie pomidorów.",""
"pairing.atelier-amaro.r1-d4.r1-w1.reason","pairing_reason","Tignanello adds spice and depth to saffron and bone marrow.","Tignanello dodaje korzenności i głębi szafranowi oraz szpikowi.",""
"pairing.atelier-amaro.r1-d4.r1-w7.reason","pairing_reason","Brunello structure stands up to gelatin-rich braised veal.","Struktura Brunello dorównuje bogatej w żelatynę duszonej cielęcinie.",""
"pairing.atelier-amaro.r1-d5.r1-w4.reason","pairing_reason","Creamy Chardonnay texture echoes risotto body and saffron notes.","Kremowa tekstura Chardonnay odpowiada treściwości risotto i nutom szafranu.",""
"pairing.atelier-amaro.r1-d5.r1-w5.reason","pairing_reason","Brut freshness cleans palate between buttery spoonfuls.","Świeżość brutu oczyszcza podniebienie między maślanymi łyżkami.",""
"pairing.atelier-amaro.r1-d6.r1-w3.reason","pairing_reason","Citrus and minerality amplify delicate sea bass flavors.","Cytrusy i mineralność wzmacniają delikatne nuty labraksa.",""
"pairing.atelier-amaro.r1-d6.r1-w8.reason","pairing_reason","Light body keeps fish and herbs in focus.","Lekka treściwość trzyma rybę i zioła w centrum uwagi.",""
"pairing.atelier-amaro.r1-d7.r1-w3.reason","pairing_reason","High acidity sharpens the rich tuna emulsion.","Wysoka kwasowość wyostrza bogatą emulsję tuńczykową.",""
"pairing.atelier-amaro.r1-d7.r1-w5.reason","pairing_reason","Fine mousse lightens the texture of chilled veal.","Drobny mus rozjaśnia teksturę zimnej cielęciny.",""
"pairing.atelier-amaro.r1-d8.r1-w2.reason","pairing_reason","Acid-driven red supports tomato while keeping eggplant balanced.","Kwasowe czerwone wspiera pomidor, zachowując równowagę bakłażana.",""
"pairing.atelier-amaro.r1-d8.r1-w7.reason","pairing_reason","Earthy Brunello complements roasted eggplant depth.","Ziemiste Brunello uzupełnia głębię pieczonego bakłażana.",""
"pairing.atelier-amaro.r1-d9.r1-w5.reason","pairing_reason","Bubbles and acidity refresh after each rich bite.","Bąbelki i kwasowość odświeżają po każdym treściwym kęsie.",""
"pairing.atelier-amaro.r1-d9.r1-w8.reason","pairing_reason","Crisp pear and citrus cut through burrata creaminess.","Świeża gruszka i cytrusy przecinają kremowość burraty.",""
"pairing.bottiglieria-1881.r3-d1.r3-w4.reason","pairing_reason","Citrus-driven Albarino cools paprika heat.","Cytrusowy Albariño chłodzi ostrość papryki.",""
"pairing.bottiglieria-1881.r3-d1.r3-w6.reason","pairing_reason","Cava bubbles clean up aioli richness and spice oil.","Bąbelki Cavy oczyszczają tłustość aioli i pikantnej oliwy.",""
"pairing.bottiglieria-1881.r3-d10.r3-w4.reason","pairing_reason","Fresh fruit notes brighten caramelized top.","Świeże owocowe nuty rozjaśniają karmelizowany wierzch.",""
"pairing.bottiglieria-1881.r3-d10.r3-w6.reason","pairing_reason","Brut bubbles refresh palate after rich creamy texture.","Bąbelki brutu odświeżają podniebienie po bogatej kremowej teksturze.",""
"pairing.bottiglieria-1881.r3-d2.r3-w4.reason","pairing_reason","Saline white enhances sweet shrimp and garlic oil.","Słone białe wino wzmacnia słodkie krewetki i czosnkową oliwę.",""
"pairing.bottiglieria-1881.r3-d2.r3-w8.reason","pairing_reason","Layered white handles intensity of garlic and chili.","Warstwowe białe wino radzi sobie z intensywnością czosnku i chili.",""
"pairing.bottiglieria-1881.r3-d3.r3-w5.reason","pairing_reason","Medium-bodied white complements egg richness.","Średnio treściwe białe wino uzupełnia bogactwo jajek.",""
"pairing.bottiglieria-1881.r3-d3.r3-w6.reason","pairing_reason","Sparkling acidity keeps each bite light.","Musująca kwasowość utrzymuje każdy kęs lekkim.",""
"pairing.bottiglieria-1881.r3-d4.r3-w4.reason","pairing_reason","Albarino minerality complements octopus sweetness.","Mineralność Albariño uzupełnia słodycz ośmiornicy.",""
"pairing.bottiglieria-1881.r3-d4.r3-w5.reason","pairing_reason","Subtle oak adds body for paprika and oil.","Subtelny dąb dodaje treściwości pod paprykę i oliwę.",""
"pairing.bottiglieria-1881.r3-d5.r3-w2.reason","pairing_reason","Rioja fruit and spice match saffron and roasted meat notes.","Owocowość i korzenność Rioja pasują do szafranu i pieczonych mięsnych nut.",""
"pairing.bottiglieria-1881.r3-d5.r3-w4.reason","pairing_reason","Bright acidity keeps the rice dish lively.","Świeża kwasowość utrzymuje danie z ryżu pełnym życia.",""
"pairing.bottiglieria-1881.r3-d6.r3-w4.reason","pairing_reason","Fresh saline profile balances cod salinity.","Świeży słony profil równoważy słoność dorsza.",""
"pairing.bottiglieria-1881.r3-d6.r3-w8.reason","pairing_reason","Complex aged white supports garlic-driven richness.","Złożone, dojrzewające białe wino wspiera bogactwo czosnku.",""
"pairing.bottiglieria-1881.r3-d7.r3-w1.reason","pairing_reason","Reserva acidity cuts through rendered fat.","Kwasowość Reserva przecina wytopiony tłuszcz.",""
"pairing.bottiglieria-1881.r3-d7.r3-w3.reason","pairing_reason","Concentrated red with structure matches crispy pork richness.","Skoncentrowane czerwone wino ze strukturą odpowiada chrupiącej tłustości wieprzowiny.",""
"pairing.bottiglieria-1881.r3-d8.r3-w5.reason","pairing_reason","White fruit notes offset savory ham intensity.","Nuty białych owoców równoważą wytrawną intensywność szynki.",""
"pairing.bottiglieria-1881.r3-d8.r3-w6.reason","pairing_reason","Sparkling texture clears bechamel richness.","Musująca tekstura oczyszcza bogactwo beszamelu.",""
"pairing.bottiglieria-1881.r3-d9.r3-w3.reason","pairing_reason","Dense tannic frame is ideal for charred beef.","Gęsta tanniczna struktura jest idealna dla wołowiny z grilla.",""
"pairing.bottiglieria-1881.r3-d9.r3-w7.reason","pairing_reason","Ripe fruit and spice echo grilled crust flavors.","Dojrzała owocowość i korzenność odpowiadają nutom grillowanej skórki.",""
"pairing.brovariusz-wroclaw.r5-d1.r5-w5.reason","pairing_reason","Zesty acidity mirrors lime and keeps fish ultra fresh.","Pikantna kwasowość odpowiada limonce i utrzymuje rybę w pełnej świeżości.",""
"pairing.brovariusz-wroclaw.r5-d1.r5-w7.reason","pairing_reason","Aromatic white softens chili heat and citrus bite.","Aromatyczne białe wino łagodzi ostrość chili i cytrusowy akcent.",""
"pairing.brovariusz-wroclaw.r5-d10.r5-w5.reason","pairing_reason","Dry acidity balances sweet fried dough texture.","Wytrawna kwasowość równoważy słodką teksturę smażonego ciasta.",""
"pairing.brovariusz-wroclaw.r5-d10.r5-w7.reason","pairing_reason","Floral aromatics add lift to caramelized syrup.","Kwiatowe aromaty dodają lekkości karmelizowanemu syropowi.",""
"pairing.brovariusz-wroclaw.r5-d2.r5-w3.reason","pairing_reason","Textured Chardonnay supports tuna and sesame richness.","Strukturalne Chardonnay wspiera tuńczyka i bogactwo sezamu.",""
"pairing.brovariusz-wroclaw.r5-d2.r5-w5.reason","pairing_reason","Albarino brightness sharpens ponzu citrus profile.","Świeżość Albariño wyostrza cytrusowy profil ponzu.",""
"pairing.brovariusz-wroclaw.r5-d3.r5-w1.reason","pairing_reason","Malbec fruit and body hold up to soy-seared beef.","Owocowość i treściwość Malbeca dorównują wołowinie smażonej w sosie sojowym.",""
"pairing.brovariusz-wroclaw.r5-d3.r5-w4.reason","pairing_reason","Carmenere spice aligns with wok-charred aromatics.","Korzenność Carmenère pasuje do aromatów z woka.",""
"pairing.brovariusz-wroclaw.r5-d4.r5-w3.reason","pairing_reason","Creamy Chardonnay texture matches sauce body.","Kremowa tekstura Chardonnay odpowiada treściwości sosu.",""
"pairing.brovariusz-wroclaw.r5-d4.r5-w7.reason","pairing_reason","Floral aromatics cool yellow chili warmth.","Kwiatowe aromaty chłodzą ciepło żółtego chili.",""
"pairing.brovariusz-wroclaw.r5-d5.r5-w3.reason","pairing_reason","Rounded white texture suits creamy avocado.","Zaokrąglona tekstura białego pasuje do kremowego awokado.",""
"pairing.brovariusz-wroclaw.r5-d5.r5-w5.reason","pairing_reason","Fresh saline profile complements crab sweetness.","Świeży słony profil uzupełnia słodycz kraba.",""
"pairing.brovariusz-wroclaw.r5-d6.r5-w2.reason","pairing_reason","Cabernet tannins match grilled protein and char.","Taniny Cabernet pasują do grillowanego białka i nut z węgla.",""
"pairing.brovariusz-wroclaw.r5-d6.r5-w8.reason","pairing_reason","Bold Malbec fruit balances smoky chili spice.","Wyrazista owocowość Malbeca równoważy dymną korzenność chili.",""
"pairing.brovariusz-wroclaw.r5-d7.r5-w3.reason","pairing_reason","Fruit-forward Chardonnay complements saffron rice.","Owocowe Chardonnay uzupełnia ryż z szafranem.",""
"pairing.brovariusz-wroclaw.r5-d7.r5-w5.reason","pairing_reason","Crisp acidity keeps shellfish and spice in balance.","Świeża kwasowość utrzymuje skorupiaki i korzenność w równowadze.",""
"pairing.brovariusz-wroclaw.r5-d8.r5-w1.reason","pairing_reason","Classic Malbec plushness fits tender slow-cooked meat.","Klasyczna pluszowość Malbeca pasuje do delikatnego, wolno duszonego mięsa.",""
"pairing.brovariusz-wroclaw.r5-d8.r5-w8.reason","pairing_reason","Concentrated Malbec handles lamb and herbal braise.","Skoncentrowany Malbec radzi sobie z jagnięciną i ziołowym duszeniem.",""
"pairing.brovariusz-wroclaw.r5-d9.r5-w1.reason","pairing_reason","Soft tannins and dark fruit complement egg yolk richness.","Miękkie taniny i ciemne owoce uzupełniają bogactwo żółtka.",""
"pairing.brovariusz-wroclaw.r5-d9.r5-w4.reason","pairing_reason","Spicy red profile matches crispy savory bean cake.","Pikantny czerwony profil pasuje do chrupiącego, wytrawnego placka z fasoli.",""
"pairing.pod-aniolami.r4-d1.r4-w3.reason","pairing_reason","Pinot earthiness mirrors caramelized onion depth.","Ziemistość Pinota odpowiada głębi karmelizowanej cebuli.",""
"pairing.pod-aniolami.r4-d1.r4-w6.reason","pairing_reason","Sparkling acidity cuts melted cheese richness.","Musująca kwasowość przecina bogactwo stopionego sera.",""
"pairing.pod-aniolami.r4-d10.r4-w5.reason","pairing_reason","Dry rose adds berry lift without oversweetening dessert.","Wytrawne rosé dodaje owocowej nuty bez przesłodzenia deseru.",""
"pairing.pod-aniolami.r4-d10.r4-w6.reason","pairing_reason","Toasty notes mirror caramelized top while staying fresh.","Tostowe nuty odpowiadają karmelizowanemu wierzchu, pozostając świeże.",""
"pairing.pod-aniolami.r4-d2.r4-w4.reason","pairing_reason","Rhone spice amplifies seared crust and pepper.","Korzenność Rodanu wzmacnia smażoną skórkę i pieprz.",""
"pairing.pod-aniolami.r4-d2.r4-w8.reason","pairing_reason","Merlot blend tannins handle beef and butter intensity.","Taniny mieszanki Merlot radzą sobie z intensywnością wołowiny i masła.",""
"pairing.pod-aniolami.r4-d3.r4-w3.reason","pairing_reason","Pinot brightness lifts the rich confit fat.","Świeżość Pinota podnosi bogaty tłuszcz konfitu.",""
"pairing.pod-aniolami.r4-d3.r4-w4.reason","pairing_reason","Savory Rhone profile matches crispy duck skin.","Wytrawny profil Rodanu pasuje do chrupiącej skórki kaczki.",""
"pairing.pod-aniolami.r4-d4.r4-w2.reason","pairing_reason","Mineral Chablis supports shellfish and saffron broth.","Mineralne Chablis wspiera skorupiaki i bulion z szafranem.",""
"pairing.pod-aniolami.r4-d4.r4-w7.reason","pairing_reason","Layered white has enough body for rich rouille.","Warstwowe białe wino ma wystarczająco treściwości dla bogatego rouille.",""
"pairing.pod-aniolami.r4-d5.r4-w1.reason","pairing_reason","Crisp Loire white lifts tomato sweetness.","Świeże białe wino z Loary podnosi słodycz pomidora.",""
"pairing.pod-aniolami.r4-d5.r4-w5.reason","pairing_reason","Dry rose complements roasted vegetables and herbs.","Wytrawne rosé uzupełnia pieczone warzywa i zioła.",""
"pairing.pod-aniolami.r4-d6.r4-w4.reason","pairing_reason","Rhone herbs deepen mushroom and onion notes.","Zioła Rodanu pogłębiają nuty grzybów i cebuli.",""
"pairing.pod-aniolami.r4-d6.r4-w8.reason","pairing_reason","Soft tannins and plum fruit align with braising sauce.","Miękkie taniny i nuty śliwki pasują do sosu z duszenia.",""
"pairing.pod-aniolami.r4-d7.r4-w1.reason","pairing_reason","Citrus and minerality keep fish flavors focused.","Cytrusy i mineralność utrzymują smaki ryby w centrum.",""
"pairing.pod-aniolami.r4-d7.r4-w2.reason","pairing_reason","Precise acidity balances beurre noisette richness.","Precyzyjna kwasowość równoważy bogactwo masła orzechowego.",""
"pairing.pod-aniolami.r4-d8.r4-w1.reason","pairing_reason","Sancerre acidity handles salty anchovy and tuna.","Kwasowość Sancerre radzi sobie ze słonymi anchois i tuńczykiem.",""
"pairing.pod-aniolami.r4-d8.r4-w5.reason","pairing_reason","Rose offers fruit contrast for briny olives.","Rosé oferuje owocowy kontrast dla słonych oliwek.",""
"pairing.pod-aniolami.r4-d9.r4-w6.reason","pairing_reason","Champagne bubbles reduce richness and reset palate.","Bąbelki Champagne redukują tłustość i resetują podniebienie.",""
"pairing.pod-aniolami.r4-d9.r4-w7.reason","pairing_reason","Oak-kissed white matches truffle and creamy cheese.","Lekko dębowane białe pasuje do trufli i kremowego sera.",""
"pairing.senses-warsaw.r2-d1.r2-w1.reason","pairing_reason","Zesty citrus profile mirrors yuzu and lifts raw fish sweetness.","Pikantny cytrusowy profil odpowiada yuzu i podkreśla słodycz surowej ryby.",""
"pairing.senses-warsaw.r2-d1.r2-w4.reason","pairing_reason","Fine bubbles cleanse palate after rich hamachi texture.","Drobne bąbelki oczyszczają podniebienie po bogatej teksturze hamachi.",""
"pairing.senses-warsaw.r2-d10.r2-w3.reason","pairing_reason","Delicate sweetness smooths the cheesecake bitterness.","Delikatna słodycz łagodzi gorycz sernika.",""
"pairing.senses-warsaw.r2-d10.r2-w5.reason","pairing_reason","Red berry mousse offsets the earthy matcha edge.","Owocowy mus z czerwonych jagód niweluje ziemisty akcent matchy.",""
"pairing.senses-warsaw.r2-d2.r2-w2.reason","pairing_reason","Chablis minerality mirrors the oceanic purity of nigiri.","Mineralność Chablis odpowiada oceanicznej czystości nigiri.",""
"pairing.senses-warsaw.r2-d2.r2-w4.reason","pairing_reason","Champagne acidity resets the palate between different fish cuts.","Kwasowość Champagne resetuje podniebienie między różnymi rodzajami ryb.",""
"pairing.senses-warsaw.r2-d3.r2-w2.reason","pairing_reason","Lean mineral structure supports delicate sashimi without masking it.","Smukła mineralna struktura wspiera delikatne sashimi, nie tłumiąc go.",""
"pairing.senses-warsaw.r2-d3.r2-w3.reason","pairing_reason","Slight sweetness softens soy salt and enhances umami.","Lekka słodycz łagodzi sól sojową i wzmacnia umami.",""
"pairing.senses-warsaw.r2-d4.r2-w6.reason","pairing_reason","Silky Pinot fruit balances smoky grill char and sweet tare.","Jedwabista owocowość Pinot równoważy dymne nuty grilla i słodkie tare.",""
"pairing.senses-warsaw.r2-d4.r2-w7.reason","pairing_reason","Peppery red blend handles caramelized glaze intensity.","Pieprzowy red blend radzi sobie z intensywnością karmelizowanej glazury.",""
"pairing.senses-warsaw.r2-d5.r2-w1.reason","pairing_reason","Herbal citrus notes brighten rich buttery cod.","Ziołowo-cytrusowe nuty rozjaśniają tłustego, maślanego dorsza.",""
"pairing.senses-warsaw.r2-d5.r2-w3.reason","pairing_reason","Off-dry Riesling balances sweet-salty miso glaze.","Półwytrawny Riesling równoważy słodko-słoną glazurę miso.",""
"pairing.senses-warsaw.r2-d6.r2-w4.reason","pairing_reason","Lively mousse cuts fried texture and keeps flavors clean.","Żywy mus rozcina smażoną teksturę i utrzymuje czystość smaków.",""
"pairing.senses-warsaw.r2-d6.r2-w5.reason","pairing_reason","Rose Champagne adds freshness and subtle berry lift.","Champagne rosé dodaje świeżości i subtelnej owocowej nuty.",""
"pairing.senses-warsaw.r2-d7.r2-w3.reason","pairing_reason","Residual sugar balances sweet soy glaze and eel fat.","Resztkowy cukier równoważy słodką glazurę sojową i tłustość węgorza.",""
"pairing.senses-warsaw.r2-d7.r2-w6.reason","pairing_reason","Soft red fruit complements smoky caramelized eel.","Miękkie czerwone owoce uzupełniają dymnego, karmelizowanego węgorza.",""
"pairing.senses-warsaw.r2-d8.r2-w6.reason","pairing_reason","Pinot texture supports beef fat without overwhelming ponzu.","Tekstura Pinot wspiera tłustość wołowiny, nie tłumiąc ponzu.",""
"pairing.senses-warsaw.r2-d8.r2-w7.reason","pairing_reason","Concentrated fruit and spice stand up to wagyu richness.","Skoncentrowana owocowość i korzenność dorównują tłustości wagyu.",""
"pairing.senses-warsaw.r2-d9.r2-w1.reason","pairing_reason","Acidic lift cuts broth richness and highlights aromatics.","Kwasowy charakter rozcina bogactwo bulionu i podkreśla aromaty.",""
"pairing.senses-warsaw.r2-d9.r2-w3.reason","pairing_reason","Riesling softness complements salty soy depth.","Miękkość Rieslinga uzupełnia słoną głębię sosu sojowego.",""
